股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
1101,台泥,23.85,24.08,24.48,24.42,29787347,710428237,27356871,41.17,-1.24
1102,亞泥,33.0,33.84,34.62,34.87,17412403,574609299,15309067,31.98,-4.35
1103,嘉泥,13.2,13.16,13.23,13.53,410869,5423470,296846,45.32,1.54
1104,環泥,27.2,27.43,27.87,28.81,796781,21672443,681954,23.91,-0.73
1108,幸福,13.5,13.56,14.1,14.62,287382,3879657,328027,18.06,-2.17
1109,信大,14.45,14.51,15.03,15.26,127836,1847230,232515,25.77,-1.03
1110,東泥,14.1,14.1,14.62,15.15,244052,3441133,273281,38.5,1.44
1201,味全,12.1,12.11,12.22,13.13,580452,7023469,606192,37.3,0.0
1203,味王,42.7,42.65,42.75,41.26,17218,735208,39394,52.8,2.52
1210,大成,51.7,52.24,52.6,53.2,2759044,142642576,2130421,37.88,-2.45
1213,大飲,8.29,8.35,8.66,9.27,12234,101419,24442,37.43,-1.66
1215,卜蜂,129.5,140.3,138.98,144.2,6865670,889104265,2960966,29.97,-8.8
1216,統一,70.2,71.36,72.08,71.72,21412207,1503136866,16884103,40.0,-4.36
1217,愛之味,9.7,9.5,9.61,10.04,1108967,10756979,816799,48.9,2.97
1218,泰山,18.45,18.53,18.74,18.88,443533,8183184,590369,39.69,0.0
1219,福壽,12.35,12.45,12.97,13.53,537618,6639582,503397,22.95,-1.2
1220,台榮,11.75,11.82,12.12,12.49,80438,945146,117833,24.81,-0.42
1225,福懋油,29.25,29.58,30.8,31.83,203257,5945267,146813,38.96,1.56
1227,佳格,28.1,28.3,28.63,29.53,1723527,48431109,1117609,34.95,-0.71
1229,聯華,39.95,39.18,40.21,42.81,4439861,177372450,3842599,42.87,4.31
1231,聯華食,85.6,85.72,86.4,88.18,486763,41666912,379995,41.54,-1.15
1232,大統益,148.0,147.9,148.1,149.49,156086,23100728,102911,46.95,-0.67
1233,天仁,27.85,28.47,28.69,29.63,51777,1441989,24458,29.12,-2.45
1234,黑松,34.25,33.98,34.47,35.51,283201,9699634,160353,43.29,1.48
1235,興泰,39.1,38.14,41.34,41.34,2365,92471,12276,43.61,5.68
1236,宏亞,24.35,24.12,24.93,26.08,20647,502754,31970,40.72,2.74
1256,鮮活果汁-KY,192.0,188.7,179.0,163.85,151914,29167488,131279,63.97,4.92
1301,台塑,45.45,45.2,47.61,48.29,21723595,987337409,18337330,38.78,0.11
1303,南亞,95.5,89.48,88.41,84.55,123269910,11772276405,75207419,62.84,18.19
1304,台聚,11.9,12.14,12.78,14.08,3900411,46414889,4739031,34.75,-2.06
1305,華夏,12.1,12.27,12.97,14.54,3520340,42596115,3395291,35.98,-2.81
1307,三芳,30.6,31.12,31.58,32.52,1004916,30750429,890404,35.67,-2.39
1308,亞聚,12.85,13.14,13.54,15.21,2096313,26937622,2503369,34.71,-1.91
1309,台達化,14.8,15.41,16.85,18.27,3889719,57567841,4276443,34.15,-4.82
1310,台苯,7.7,7.92,8.41,9.95,3814703,29373212,3274098,26.61,-3.51
1312,國喬,9.98,10.3,11.09,12.71,7848646,78329483,6075432,28.85,-4.04
1313,聯成,10.3,10.55,10.79,11.89,2302496,23715709,2654566,33.24,-1.9
1314,中石化,6.9,7.04,7.1,7.83,17903309,123532833,17201217,36.83,-1.71
1315,達新,62.0,61.1,61.45,63.1,128895,7991490,39826,50.9,2.65
1316,上曜,10.15,10.35,10.89,11.85,2608565,26476933,2595145,31.22,-4.25
1319,東陽,78.7,80.26,78.85,81.61,2746051,216114205,2720405,46.18,-2.36
1321,大洋,29.05,29.17,29.58,31.96,172871,5021902,240678,28.32,-1.86
1323,永裕,20.2,20.12,19.78,20.11,78604,1587800,107930,51.65,1.51
