日期,代號,名稱,族群,分數,收盤價
2026-05-28,6425,易發,高速傳輸,33,102.5
2026-05-28,2301,光寶科,AI電源,32,246.0
2026-05-28,5425,台半,散熱模組,32,104.5
2026-05-28,1503,士電,重電,32,221.0
2026-05-28,5536,聖暉*,其他,32,1110.0
2026-05-28,6548,長科*,半導體,32,61.1
2026-05-28,6435,大中,半導體,32,290.0
2026-05-28,6016,康和證,其他,32,26.7
2026-05-28,5864,致和證,其他,32,38.6
2026-05-28,3444,利機,其他,32,117.5
2026-05-28,6015,宏遠證,其他,31,17.95
2026-05-28,6570,維田,其他,31,59.2
2026-05-28,3467,台灣精材,其他,31,77.5
2026-05-28,6223,旺矽,BBU,30,6390.0
2026-05-28,1513,中興電,重電,30,169.0
2026-05-28,4966,譜瑞-KY,散熱模組,30,870.0
2026-05-28,3491,昇達科,矽光子,30,2080.0
2026-05-28,8255,朋程,其他,30,185.5
2026-05-28,1409,新纖,其他,30,18.9
2026-05-28,2606,裕民,航運,30,72.5
2026-05-28,3402,漢科,其他,30,154.0
2026-05-28,2855,統一證,金融,30,44.9
2026-05-28,8050,廣積,電腦設備,30,57.9
2026-05-28,5299,杰力,其他,30,119.0
2026-05-28,1809,中釉,其他,30,44.4
2026-05-28,2453,凌群,資訊服務,30,62.5
2026-05-28,2344,華邦電,其他,29,155.0
2026-05-28,2303,聯電,其他,29,143.5
2026-05-28,2308,台達電,其他,29,2520.0
2026-05-28,6147,頎邦,其他,29,265.0
2026-05-28,2383,台光電,其他,29,5305.0
2026-05-28,3211,順達,其他,29,464.0
2026-05-28,2360,致茂,其他,29,2625.0
2026-05-28,2312,金寶,其他,29,37.35
2026-05-28,2404,漢唐,其他,29,1235.0
2026-05-28,2356,英業達,其他,29,62.0
2026-05-28,2375,凱美,其他,29,147.0
2026-05-28,3707,漢磊,其他,29,89.3
2026-05-28,6290,良維,其他,29,328.5
2026-05-28,3357,臺慶科,其他,29,285.5
2026-05-28,2351,順德,其他,29,229.0
2026-05-28,2441,超豐,其他,29,136.0
2026-05-28,8086,宏捷科,其他,29,173.5
2026-05-28,8358,金居,其他,29,560.0
2026-05-28,6207,復華滬深,其他,29,103.5
2026-05-28,2316,楠梓電,其他,29,168.0
2026-05-28,2493,揚博,其他,29,158.0
2026-05-28,2495,普安,其他,29,50.6
2026-05-28,6727,亞泰金屬,其他,29,629.0
2026-05-28,6265,方土昶,其他,29,55.0
2026-05-28,6284,佳邦,其他,29,113.0
2026-05-28,3236,千如,其他,29,56.9
2026-05-28,3581,博磊,其他,29,252.0
2026-05-28,6761,穩得,其他,29,223.5
2026-05-28,2302,麗正,其他,29,32.7
2026-05-28,3152,璟德,其他,29,198.5
2026-05-28,4973,廣穎,其他,29,139.0
2026-05-28,8289,泰藝,其他,29,68.9
2026-05-28,3141,晶宏,其他,29,79.7
2026-05-28,3323,加百裕,電池能源,29,38.5
2026-05-28,3390,旭軟,其他,29,29.8
2026-05-28,3287,廣寰科,其他,29,36.3
2026-05-28,5011,久陽,其他,29,18.7
2026-05-28,2317,鴻海,AI伺服器,28,264.0
2026-05-28,2379,瑞昱,AI電源,28,605.0
2026-05-28,6432,今展科,其他,28,65.2
2026-05-28,6651,全宇昕,其他,28,151.0
2026-05-28,2449,京元電子,封測,27,315.5
2026-05-28,1303,南亞,其他,27,95.5
2026-05-28,2481,強茂,其他,27,147.5
2026-05-28,2881,富邦金,金融,27,110.0
2026-05-28,2377,微星,其他,27,126.5
2026-05-28,2049,上銀,重電,27,409.0
