股票代號,股票名稱,產業
3443,創意,AI晶片
3661,世芯-KY,AI晶片
2379,瑞昱,IC設計
2454,聯發科,IC設計
3034,聯詠,IC設計
3443,創意,IC設計
2368,金像電,PCB
2383,台光電,PCB
3037,欣興,PCB
6274,台燿,PCB
8046,南電,PCB
2481,強茂,二極體
3317,尼克森,二極體
5425,台半,二極體
8255,朋程,二極體
2449,京元電子,封測
3264,欣銓,封測
3711,日月光投控,封測
6147,頎邦,封測
3374,精材,封測擴充
6239,力成,封測擴充
8150,南茂,封測擴充
2395,研華,工業電腦
3046,建碁,工業電腦
6414,樺漢,工業電腦
3017,奇鋐,散熱
3324,雙鴻,散熱
3653,健策,散熱
8996,高力,散熱
2303,聯電,晶圓代工
2330,台積電,晶圓代工
6770,力積電,晶圓代工
2360,致茂,測試設備
3016,嘉晶,矽晶圓
3532,台勝科,矽晶圓
6182,合晶,矽晶圓
6488,環球晶,矽晶圓
2345,智邦,網通
3596,智易,網通
4906,正文,網通
5388,中磊,網通
6285,啟碁,網通
2327,國巨*,被動元件
2377,微星,被動元件
2478,大毅,被動元件
3026,禾伸堂,被動元件
3624,光頡,被動元件
2337,旺宏,記憶體
2344,華邦電,記憶體
2408,南亞科,記憶體
3006,晶豪科,記憶體
8299,群聯,記憶體
1319,東陽,車用電子
1536,和大,車用電子
2201,裕隆,車用電子
2233,宇隆,車用電子
3552,同致,車用電子
2313,華通,載板
4958,臻鼎-KY,載板
6213,聯茂,載板
2855,統一證,金融保險
2881,富邦金,金融保險
2882,國泰金,金融保險
2885,元大金,金融保險
2891,中信金,金融保險
6005,群益證,金融保險
2409,友達,面板
3481,群創,面板
