代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
8926,,其他,其他,25,20.7,87.63,26925912,1946743519,72.3,高
8931,,其他,其他,25,3.82,70.21,280314,12193659,43.5,中
4527,,其他,其他,25,3.32,77.92,132488,5975208,45.1,高
4163,,其他,其他,25,7.27,68.29,356938,42118684,118.0,中
6488,,其他,其他,25,45.77,61.29,22523520,20946873600,930.0,低
2527,,其他,其他,25,10.19,65.22,736586,27069535,36.75,中
4433,,其他,其他,25,5.12,70.0,91582,1973592,21.55,中
8996,,其他,其他,25,22.23,61.63,3966760,4819613400,1215.0,低
9105,,其他,其他,25,53.13,88.28,339209270,2903631493,8.56,高
1256,,其他,其他,25,5.32,65.71,239346,47390508,198.0,中
3707,,其他,其他,25,8.87,64.45,55937881,4872189349,87.1,低
3711,,其他,CoWoS,25,22.94,67.4,34951267,21914444409,627.0,中
3713,,其他,其他,25,20.77,71.28,914996,14365437,15.7,中
4771,,其他,其他,25,3.35,60.98,430169,86248884,200.5,低
4807,,其他,其他,25,10.35,67.56,709146,17764106,25.05,中
4906,,通信網路,網通,25,19.02,68.17,36899328,1651244928,44.75,中
4912,,其他,其他,25,9.22,76.84,2248993,253011712,112.5,高
8440,,其他,其他,25,8.04,64.14,950563,23003625,24.2,低
3675,,其他,其他,25,21.33,89.5,2015351,773894784,384.0,高
6525,,其他,其他,25,14.1,65.15,5061123,655415428,129.5,中
2481,,其他,其他,25,11.7,87.6,86411556,12788910288,148.0,高
3617,,其他,其他,25,7.36,62.18,717757,151805605,211.5,低
3624,,其他,其他,25,9.29,96.17,6961430,696143000,100.0,高
3632,,其他,其他,25,26.36,62.27,248286,2309059,9.3,低
3652,,其他,其他,25,12.23,77.64,947658,32172989,33.95,高
8249,,其他,其他,25,10.78,63.62,5979445,337838642,56.5,低
8255,,自動化設備,其他,25,18.91,81.6,6618743,1227776826,185.5,高
8261,,其他,其他,25,30.87,88.07,19081098,3720814110,195.0,高
4770,,其他,其他,25,16.59,68.23,2157050,568382675,263.5,中
6570,,生技醫療,其他,25,31.85,73.94,4183084,243037174,58.1,中
6282,,記憶體,DRAM,25,16.93,64.75,83132044,4938043540,59.4,低
6285,,其他,其他,25,11.65,69.47,28853633,8987906679,311.5,中
6290,,其他,其他,25,25.38,68.22,10610582,3485576187,328.5,中
6292,,其他,其他,25,15.74,74.27,1315124,82195250,62.5,中
6405,,其他,其他,25,51.4,71.22,6728720,545026320,81.0,中
6415,,其他,其他,25,31.16,80.64,9966935,6628011775,665.0,高
2535,,其他,其他,25,4.74,70.87,884342,70305189,79.5,中
8358,,其他,其他,25,21.74,64.26,4323282,2421037920,560.0,低
3607,,其他,其他,25,4.47,64.44,851558,12943681,15.2,低
4952,,其他,其他,25,12.27,70.41,6640790,370556076,55.8,中
4966,,散熱模組,散熱,25,14.93,78.06,3467653,3016858110,870.0,高
8213,,其他,其他,25,10.76,60.15,3023887,122921011,40.65,低
1455,,其他,其他,25,5.26,71.2,2100924,18088954,8.61,中
3689,,其他,其他,25,9.09,61.11,12675661,1673187252,132.0,低
2454,,其他,IC設計,25,24.23,63.13,16374555,72211787550,4410.0,低
6598,,其他,其他,25,3.1,77.65,289150,7214292,24.95,高
6274,,其他,其他,25,35.27,60.57,7944681,12949830030,1630.0,低
6548,,半導體封測,封測,25,25.72,73.33,28316758,1730153870,61.1,中
2426,,其他,其他,25,7.0,66.1,37886916,3065051562,80.9,中
2428,,其他,其他,25,27.17,94.74,2871179,839819857,292.5,高
6617,,其他,其他,25,12.16,64.09,623002,45977549,73.8,低
6239,,其他,其他,25,45.2,80.22,74653213,25419419026,340.5,高
6245,,其他,其他,25,9.69,70.98,2623658,237703410,90.6,中
2731,,其他,其他,25,3.44,65.79,1449569,239903669,165.5,中
6263,,其他,其他,25,8.55,75.43,243592,44820928,184.0,高
6265,,其他,其他,25,32.21,71.01,22377163,1230743965,55.0,中
6579,,其他,其他,25,18.79,84.8,2919154,516690258,177.0,高
2434,,其他,其他,25,24.15,72.86,626418,22864257,36.5,中
2438,,其他,其他,25,26.36,74.76,1891426,52581641,27.8,中
2390,,其他,其他,25,3.9,72.62,2014566,21455127,10.65,中
2408,,其他,其他,25,10.58,61.79,226431919,73363941756,324.0,低
3558,,其他,其他,25,17.92,72.52,2253496,318869684,141.5,中
3564,,其他,其他,25,14.64,74.58,834327,40172846,48.15,中
3577,,其他,其他,25,21.51,83.26,2525324,406577164,161.0,高
5011,,其他,其他,25,24.25,73.89,3031077,56681142,18.7,中
1521,,其他,其他,25,11.13,67.52,204831,5520195,26.95,中
1524,,其他,其他,25,8.69,69.44,5396441,172146465,31.9,中
1530,,其他,其他,25,28.78,98.0,2301982,82410953,35.8,高
6654,,其他,其他,25,31.44,87.7,497200,63393000,127.5,高
6658,,其他,其他,25,35.59,68.39,2603497,600106058,230.5,中
2816,,其他,其他,25,3.72,67.35,457606,14689151,32.1,中
6218,,其他,其他,25,12.06,62.3,4844358,209276269,43.2,低
6220,,其他,其他,25,12.4,82.61,1173445,40953232,34.9,高
6606,,其他,其他,25,5.53,60.71,383605,9877828,25.75,低
2420,,其他,其他,25,3.2,74.46,1507075,97206337,64.5,中
2423,,其他,其他,25,13.37,74.06,557738,47296184,84.8,中
2891,,其他,金融,25,3.13,64.36,68974699,4090199598,59.3,低
3523,,其他,其他,25,45.0,62.59,49058,711341,14.5,低
1583,,其他,其他,25,24.63,77.45,580986,34103878,58.7,高
8101,,其他,其他,25,4.18,64.84,9599,131506,13.7,低
3556,,其他,其他,25,13.15,71.36,3766929,230159356,61.1,中
6182,,其他,其他,25,55.79,87.61,208872788,18840324840,90.2,高
6190,,其他,其他,25,3.61,64.62,9304103,748049895,80.4,低
2855,,金融保險,金融,25,12.19,66.45,13666638,616365352,45.1,中
2881,,其他,金融,25,14.46,75.48,82473921,9072131310,110.0,高
2882,,其他,金融,25,7.75,64.46,61943048,5252770659,84.8,低
2885,,其他,其他,25,8.04,61.82,36984110,2185760844,59.1,低
6204,,其他,其他,25,7.9,71.43,860014,77487260,90.1,中
6207,,其他,其他,25,28.25,76.66,21848752,2261345832,103.5,高
6698,,其他,其他,25,16.59,70.22,2453725,89683646,36.55,中
8114,,半導體設備,其他,25,12.66,76.45,1357267,362390289,267.0,高
3492,,其他,其他,25,5.36,62.69,342086,8073229,23.6,低
1563,,其他,其他,25,33.7,94.33,4813852,294126349,61.1,高
8162,,其他,其他,25,31.24,73.12,1877622,133311162,71.0,中
6706,,其他,其他,25,34.89,68.75,12700649,2749690508,216.5,中
6161,,其他,其他,25,17.84,75.47,3278216,197020776,60.1,高
6173,,其他,其他,25,41.69,85.49,1472831,332859806,226.0,高
2369,,其他,其他,25,32.5,79.67,54764694,2176896586,39.75,高
2375,,其他,其他,25,31.84,91.68,30036507,4850895880,161.5,高
2344,,其他,其他,25,26.32,68.32,359104176,51711001344,144.0,中
2332,,其他,其他,25,9.59,76.62,15141999,242271984,16.0,高
2338,,其他,其他,25,5.87,61.83,15660950,875447128,55.9,低
2235,,其他,其他,25,6.15,68.81,15024,480016,31.95,中
2239,,其他,其他,25,8.89,75.56,187422,4591839,24.5,高
2241,,其他,其他,25,3.66,75.75,10959205,419189591,38.25,高
2356,,其他,其他,25,18.11,75.86,136095687,8696514606,63.9,高
2360,,其他,其他,25,13.22,63.93,3957564,10170939480,2570.0,低
2301,,其他,AI電源,25,12.71,60.64,54535143,12570350461,230.5,低
2302,,其他,其他,25,35.23,86.29,16538633,590429210,35.7,高
2303,,其他,其他,25,22.41,81.73,417482927,59282575634,142.0,高
5285,,其他,其他,25,11.94,88.94,9496221,854659890,90.0,高
3438,,其他,其他,25,6.34,61.74,1352391,97507389,72.1,低
3444,,光通訊,其他,25,21.45,75.33,3861470,445999785,115.5,高
3485,,其他,其他,25,41.08,66.13,1495292,508399280,340.0,中
5299,,MOSFET,其他,25,13.88,72.37,5405570,643262830,119.0,中
8069,,其他,其他,25,8.26,84.04,6740867,1678475883,249.0,高
8104,,其他,其他,25,10.86,61.88,3885339,144728877,37.25,低
8110,,其他,其他,25,31.03,67.09,68353656,4142231449,60.6,中
8081,,其他,其他,25,5.88,68.48,1947164,560783232,288.0,中
8086,,其他,其他,25,20.07,63.12,14948932,2593639702,173.5,低
8088,,其他,其他,25,18.45,60.21,16763586,1022578746,61.0,低
3380,,其他,其他,25,10.4,76.25,9700287,350180345,36.1,高
1568,,其他,其他,25,49.24,89.51,1656472,68329470,41.25,高
2305,,其他,其他,25,31.07,81.03,16956264,393385337,23.2,高
2312,,其他,其他,25,25.25,73.72,161206692,6077492411,37.7,中
6719,,其他,其他,25,9.91,73.26,9313283,2374887165,255.0,中
6143,,其他,其他,25,5.04,63.79,1359500,135950000,100.0,低
6147,,其他,其他,25,22.97,80.59,80939555,21448982075,265.0,高
6761,,其他,其他,25,23.14,60.78,3251298,726665103,223.5,低
3046,,其他,其他,25,4.41,71.11,759960,41341825,54.4,中
6121,,其他,其他,25,5.45,64.74,928010,367955965,396.5,低
6125,,其他,其他,25,20.29,63.52,5736155,377439016,65.8,低
6127,,其他,其他,25,9.21,72.14,38975862,2217726607,56.9,中
3026,,其他,其他,25,39.56,88.95,2501719,1513539995,605.0,高
3006,,其他,其他,25,9.23,65.76,29191533,7078946752,242.5,中
8050,,電腦設備,工業電腦,25,12.87,80.09,12159534,704037037,57.9,高
5381,,其他,其他,25,5.86,61.9,1294550,33917210,26.2,低
3346,,其他,其他,25,20.74,64.54,707625,13798687,19.5,低
5425,,散熱模組,散熱,25,20.25,78.55,68102422,7116703099,104.5,高
8016,,其他,其他,25,5.43,65.64,4407404,1326628604,301.0,中
1709,,其他,其他,25,6.52,65.57,1357898,26614801,19.6,中
1710,,其他,其他,25,3.05,65.56,7268090,98119215,13.5,中
6799,,其他,其他,25,15.63,78.77,3895229,426527575,109.5,高
6821,,其他,其他,25,38.27,83.75,10370132,745612506,71.9,高
6831,,其他,其他,25,13.89,90.15,580152,475724640,820.0,高
6116,,其他,其他,25,47.21,80.0,292392532,4239691714,14.5,高
6727,,其他,其他,25,26.69,71.02,2024052,1273128708,629.0,中
6732,,其他,其他,25,10.91,69.31,463125,82204687,177.5,中
6861,,其他,其他,25,13.51,60.29,2712604,1253223048,462.0,低
6863,,其他,其他,25,3.2,62.64,136079,15376927,113.0,低
6020,,其他,其他,25,11.37,70.56,307000,7214500,23.5,中
3131,,其他,其他,25,34.63,69.15,1907365,6933271775,3635.0,中
3135,,其他,其他,25,27.88,75.52,3634861,908715250,250.0,高
3141,,其他,其他,25,15.01,86.68,9425560,772895920,82.0,高
3067,,其他,其他,25,7.43,72.41,17389,326913,18.8,中
6770,,其他,其他,25,29.41,68.23,412217912,30833901075,74.8,中
3311,,其他,其他,25,11.47,69.57,4380122,159655450,36.45,中
3321,,其他,其他,25,27.12,71.22,2183627,42471546,19.45,中
3257,,其他,其他,25,22.16,85.28,5119644,335848638,65.6,高
3285,,其他,其他,25,9.46,66.95,222755,6961093,31.25,中
3287,,其他,其他,25,21.14,82.77,4782183,182201165,38.1,高
5471,,其他,其他,25,6.69,71.75,4206316,234712429,55.8,中
6899,,其他,其他,25,5.72,67.29,472070,29645995,62.8,中
5864,,其他,其他,25,23.13,62.43,12963452,500389227,38.6,低
3152,,其他,其他,25,14.53,64.38,3441614,677997958,197.0,低
3191,,其他,其他,25,55.16,94.09,860935,20705486,24.05,高
3206,,其他,其他,25,6.08,67.81,1117650,44817763,40.1,中
6005,,其他,其他,25,14.38,71.04,21396590,748880650,35.0,中
6015,,其他,其他,25,23.79,63.97,15390507,276259612,17.95,低
6016,,金融保險,其他,25,22.48,75.0,25504651,680974201,26.7,中
6855,,其他,其他,25,9.9,65.0,21000,2331000,111.0,低
6906,,其他,其他,25,47.56,88.05,925156,95291068,103.0,高
1810,,其他,其他,25,4.44,67.44,11407544,228150880,20.0,中
6957,,其他,其他,25,5.62,71.88,184130,31117970,169.0,中
5536,,機械設備,其他,25,21.18,75.15,3650837,4052429070,1110.0,高
3221,,其他,其他,25,17.35,73.51,21227640,1277903944,60.2,中
8039,,其他,其他,25,26.48,64.42,26626247,4260199520,160.0,低
5465,,其他,其他,25,11.2,65.52,336039,9005844,26.8,中
4153,,其他,其他,25,3.44,69.88,43322,1368975,31.6,中
4711,,其他,其他,25,4.27,73.85,688040,11765484,17.1,中
4739,,其他,其他,25,13.66,61.01,5355334,556954736,104.0,低
4106,,其他,其他,25,3.03,78.57,412337,9813620,23.8,高
4755,,其他,其他,25,20.37,74.39,2103491,341817287,162.5,中
4760,,其他,其他,25,37.23,74.79,1813398,701785026,387.0,中
8477,,其他,其他,25,34.74,76.98,195214,4050690,20.75,高
8487,,其他,其他,25,3.29,74.55,88050,7184879,81.6,中
1339,,其他,其他,25,9.93,67.57,1126843,50538906,44.85,中
1409,,營建資產,其他,25,22.42,83.76,84199728,1747144356,20.75,高
6446,,其他,其他,25,11.15,83.03,3008484,2638440468,877.0,高
6451,,其他,其他,25,24.0,62.28,7564273,4553692346,602.0,低
2484,,其他,其他,25,23.08,71.34,43139769,2381315281,55.2,中
2493,,其他,其他,25,20.3,71.43,9545880,1555978440,163.0,中
2495,,其他,其他,25,16.48,71.75,25760705,1219769342,47.35,中
6546,,其他,其他,25,12.87,73.01,1802077,145427608,80.7,中
6425,,高速傳輸,高速傳輸,25,16.74,75.53,10426943,1068761657,102.5,高
6426,,其他,其他,25,17.36,63.04,3227147,905214733,280.5,低
6435,,功率半導體,功率半導體,25,25.81,70.73,2593413,752089770,290.0,中
1319,,其他,其他,25,7.99,68.0,4148427,358838935,86.5,中
4545,,其他,其他,25,21.26,71.12,713101,26028186,36.5,中
4555,,工具機,其他,20,26.65,77.21,1659261,89102316,53.7,高
6442,,其他,其他,20,15.25,47.97,5838347,11910227880,2040.0,低
6432,,其他,其他,20,23.72,83.33,3343043,217966393,65.2,高
6417,,其他,其他,20,15.6,62.88,188001,27166144,144.5,低
2546,,其他,其他,20,2.96,63.64,153282,13320206,86.9,低
6530,,其他,其他,20,11.88,49.18,2005279,226596527,113.0,低
2492,,其他,其他,20,46.62,94.66,5981900,2332941000,390.0,高
6449,,其他,其他,20,37.8,88.35,447438,165552060,370.0,高
8473,,其他,其他,20,7.8,79.22,2026674,86842977,42.85,高
4737,,其他,其他,20,3.09,53.62,187002,11220120,60.0,低
4720,,其他,其他,20,10.25,45.69,15255651,410377006,26.9,低
8032,,其他,其他,20,11.53,66.01,368070,16912816,45.95,中
6870,,其他,其他,20,17.4,86.96,207182,49620089,239.5,高
5543,,其他,其他,20,5.01,60.98,17100,519839,30.4,低
5538,,其他,其他,20,1.31,62.74,53000,1847049,34.85,低
3232,,其他,其他,20,2.69,66.94,335747,7688606,22.9,中
3226,,其他,其他,20,6.25,59.6,12531,532567,42.5,低
3211,,其他,其他,20,25.35,62.6,14990813,6633434752,442.5,低
3207,,其他,其他,20,12.85,61.7,899431,58463015,65.0,低
6949,,其他,其他,20,3.93,57.14,239095,170713830,714.0,低
6944,,其他,其他,20,5.64,40.0,632340,591870240,936.0,低
1809,,鋼鐵工業,其他,20,6.51,60.67,12378021,516782376,41.75,低
5484,,其他,其他,20,23.95,72.81,2444382,119530283,48.9,中
6834,,其他,其他,20,28.22,82.8,2363287,183627392,77.7,高
3189,,其他,其他,20,22.92,79.89,7985281,5437976361,681.0,高
6902,,其他,其他,20,5.86,79.46,444482,60227311,135.5,高
6894,,其他,其他,20,8.98,63.24,145016,53655920,370.0,低
1723,,其他,其他,20,1.72,61.07,930496,77045071,82.8,低
8043,,其他,其他,20,15.28,69.47,17407341,2297769012,132.0,中
8042,,其他,其他,20,29.18,85.18,1431037,215371068,150.5,高
5483,,其他,其他,20,20.0,55.88,31324781,5074614522,162.0,低
5469,,其他,其他,20,10.13,56.05,12579755,1094438685,87.0,低
3265,,其他,其他,20,6.48,61.11,3863032,730113048,189.0,低
3264,,其他,其他,20,7.53,58.27,16589652,3906863046,235.5,低
3259,,其他,其他,20,5.66,42.39,111240,1868831,16.8,低
3317,,其他,其他,20,9.38,83.23,6333417,524406946,82.8,高
3305,,其他,其他,20,13.67,79.86,10401025,1643361950,158.0,高
6890,,其他,其他,20,3.02,71.05,381005,64961352,170.5,中
6877,,其他,其他,20,17.75,51.43,1258552,217100220,172.5,低
6873,,其他,其他,20,8.13,46.58,876023,80418914,91.8,低
3066,,其他,其他,20,1.69,72.0,917944,19322720,21.05,中
3149,,其他,其他,20,18.55,78.01,34037261,2283900161,67.1,高
6021,,其他,其他,20,12.22,50.0,628296,21927531,34.9,低
6869,,其他,其他,20,6.73,44.26,1638060,137760843,84.1,低
2061,,其他,其他,20,34.69,88.75,1237170,40826610,33.0,高
2049,,其他,重電,20,3.88,68.66,9707334,3766445592,388.0,中
2032,,其他,其他,20,7.23,61.26,1320007,23496123,17.8,低
6859,,其他,其他,20,3.4,48.28,127000,15430500,121.5,低
2206,,其他,其他,20,0.33,66.67,2130626,127837560,60.0,中
2115,,其他,其他,20,5.28,58.23,481392,10566554,21.95,低
2114,,其他,其他,20,2.46,86.0,136314,12513625,91.8,高
6113,,其他,其他,20,8.91,62.59,555500,14942949,26.9,低
6026,,其他,其他,20,9.3,46.38,8359213,137509060,16.45,低
3085,,其他,其他,20,5.06,54.04,59158,736517,12.45,低
6804,,其他,其他,20,5.54,66.67,20000,324000,16.2,中
1713,,其他,其他,20,2.92,65.55,516724,25500328,49.35,中
8028,,其他,其他,20,19.15,76.16,7396315,2278065020,308.0,高
8027,,其他,其他,20,3.96,64.35,1199448,299262276,249.5,低
6994,,其他,其他,20,16.15,40.74,1148437,69365596,60.4,低
5438,,其他,其他,20,4.32,39.73,619503,11956407,19.3,低
5434,,其他,其他,20,19.27,67.97,1068115,505752452,473.5,中
3357,,其他,其他,20,11.42,79.03,9925316,2808864428,283.0,高
5386,,其他,其他,20,36.67,58.62,3079039,1807395893,587.0,低
8046,,其他,其他,20,9.17,45.98,21696151,19635016655,905.0,低
6792,,其他,其他,20,8.92,73.19,240016,16705113,69.6,中
2066,,其他,其他,20,2.48,71.34,213885,12362552,57.8,中
2064,,其他,其他,20,3.77,73.17,29086,399932,13.75,中
2247,,其他,其他,20,3.42,44.26,169551,35860036,211.5,低
2243,,其他,其他,20,12.95,55.61,1548522,38480772,24.85,低
3042,,其他,其他,20,35.94,80.98,20683087,4498571422,217.5,高
3032,,電源供應器,其他,20,13.87,77.37,2909709,262746731,90.3,高
3027,,其他,其他,20,9.37,50.5,1864130,35884502,19.25,低
6139,,其他,其他,20,12.64,63.89,5118227,4150882097,811.0,低
6138,,其他,其他,20,15.24,71.9,2918970,1037693835,355.5,中
6134,,其他,其他,20,10.45,58.25,1093168,36402493,33.3,低
3048,,其他,其他,20,6.49,85.39,29668228,2142045971,72.2,高
2317,,其他,AI伺服器,20,6.26,62.26,73602016,19357330208,263.0,低
2316,,其他,其他,20,11.59,78.57,5758834,970363529,168.5,高
6141,,其他,其他,20,13.91,54.88,6848850,269159799,39.3,低
3021,,其他,其他,20,60.23,95.87,534541,14646423,27.4,高
3016,,其他,其他,20,16.45,60.0,17076833,2296834038,134.5,低
6725,,其他,其他,20,19.26,52.14,987674,336302997,340.5,低
6716,,其他,其他,20,9.07,70.45,1214020,129900140,107.0,中
2308,,其他,其他,20,17.73,58.56,11638517,27816055630,2390.0,低
5284,,其他,其他,20,21.76,68.36,1576067,696621614,442.0,中
1570,,其他,其他,20,32.07,85.58,1013075,52983821,52.3,高
5353,,其他,其他,20,4.65,59.18,130743,3530061,27.0,低
5351,,其他,其他,20,11.02,56.04,27002350,2230394068,82.6,低
5347,,其他,其他,20,4.4,37.42,32001248,5312207168,166.0,低
3388,,其他,其他,20,14.55,51.06,4905259,544483749,111.0,低
3374,,其他,其他,20,4.29,58.17,37415974,9541073370,255.0,低
5328,,其他,其他,20,15.05,74.56,31345722,1114340393,35.55,中
5324,,其他,其他,20,0.0,93.94,387001,4624661,11.95,高
5321,,其他,其他,20,60.56,99.5,186381,9635897,51.7,高
8091,,其他,其他,20,6.11,77.7,419591,112869979,269.0,高
8111,,其他,其他,20,10.82,46.04,2413231,163134411,67.6,低
1623,,其他,其他,20,10.81,50.0,871556,214402776,246.0,低
1618,,其他,其他,20,5.64,64.08,2020345,83238215,41.2,低
8070,,其他,其他,20,17.52,56.83,11364232,571620860,50.3,低
8064,,其他,其他,20,15.79,68.42,11971572,1711934796,143.0,中
3481,,其他,其他,20,14.29,71.74,1257195758,58333885089,46.4,中
3479,,其他,其他,20,17.02,90.57,3381021,464890387,137.5,高
3450,,通信網路,CPO,20,9.32,60.03,15632883,7519416723,481.0,低
6691,,其他,其他,20,9.95,51.16,1004626,677117924,674.0,低
6680,,其他,其他,20,8.22,67.92,1000,57900,57.9,中
2353,,其他,其他,20,12.68,71.43,77514082,2480450624,32.0,中
2351,,其他,其他,20,14.58,68.32,8239315,1812649300,220.0,中
2337,,其他,其他,20,13.48,54.07,217138802,34742208320,160.0,低
2329,,其他,其他,20,13.23,50.48,46129400,2763151130,59.9,低
2327,,其他,其他,20,29.72,90.67,24896471,18473181482,742.0,高
2324,,其他,其他,20,10.38,62.38,146521274,4908462679,33.5,低
2321,,其他,其他,20,17.72,80.23,6317,94439,14.95,高
2379,,其他,AI電源,20,3.3,50.53,4272875,2538087750,594.0,低
2376,,其他,ASIC,20,6.64,59.45,17132798,5782319325,337.5,低
6174,,其他,其他,20,7.36,65.39,3952040,184362672,46.65,中
6166,,其他,其他,20,17.75,99.01,2709248,368457728,136.0,高
2949,,其他,其他,20,4.13,83.54,1653,104139,63.0,高
2937,,其他,其他,20,2.21,100.0,9607,466419,48.55,高
2929,,其他,其他,20,5.63,57.74,2494654,14967924,6.0,低
8163,,其他,其他,20,9.09,79.3,3514661,126527796,36.0,高
8150,,其他,其他,20,26.21,45.7,89928220,8444259995,93.9,低
1587,,其他,其他,20,13.43,48.48,1815046,58262973,32.1,低
5276,,其他,其他,20,6.7,43.65,51016,1015218,19.9,低
5274,,其他,其他,20,17.16,52.08,258706,4716210380,18230.0,低
5269,,其他,其他,20,7.94,60.0,2190652,3275024740,1495.0,低
5243,,其他,其他,20,21.53,64.71,9779241,1241963607,127.0,低
3512,,其他,其他,20,0.98,73.33,99191,2038374,20.55,中
5236,,其他,其他,20,8.14,71.67,441765,82168290,186.0,中
5228,,其他,其他,20,14.77,80.61,373251,21461932,57.5,高
8131,,其他,其他,20,13.14,47.29,14602130,1006086779,68.9,低
8121,,其他,其他,20,16.48,66.4,2746180,112593380,41.0,中
6695,,其他,其他,20,20.36,70.27,4806513,292716649,60.9,中
6693,,其他,其他,20,10.22,50.75,2013230,303997730,151.0,低
6197,,其他,其他,20,29.72,72.32,5743866,1616898279,281.5,中
2883,,其他,其他,20,3.5,41.57,88712694,1964986138,22.15,低
6196,,其他,其他,20,23.76,75.85,3316500,1658250000,500.0,高
6194,,其他,其他,20,6.81,72.55,116984,4035948,34.5,中
6191,,其他,其他,20,4.03,45.19,14205923,1392180454,98.0,低
3552,,其他,其他,20,5.86,54.79,1358582,76080592,56.0,低
3551,,其他,其他,20,10.41,55.73,6297832,1369778460,217.5,低
8097,,其他,其他,20,0.7,78.5,88550,5109335,57.7,高
8096,,其他,其他,20,12.56,78.0,10591766,1281603686,121.0,高
1582,,其他,其他,20,-3.4,71.17,21244647,2411267434,113.5,中
5220,,其他,其他,20,6.64,69.43,138000,3215399,23.3,中
