代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
3481,群創,面板,其他,20,14.29,71.74,1257195758,58333885089,46.4,中
2313,華通,載板,其他,5,0.39,51.52,110307984,28569767856,259.0,低
2308,台達電,其他,晶圓代工,22,17.73,58.56,11638517,27816055630,2390.0,低
3105,穩懋,其他,其他,15,9.32,56.47,48717764,25722979392,528.0,低
2317,鴻海,其他,AI伺服器,23,6.26,62.26,73602016,19357330208,263.0,低
6531,愛普*,其他,半導體設備,27,25.0,64.32,14729068,16128329460,1095.0,低
0050,元大台灣50,其他,其他,20,4.85,59.16,152622732,15338584566,100.5,低
2382,廣達,其他,AI伺服器,8,0.16,32.61,43178356,13320522826,308.5,低
2301,光寶科,其他,其他,25,12.71,60.64,54535143,12570350461,230.5,低
2409,友達,面板,其他,20,4.95,61.92,537010638,11384625935,21.2,低
1802,台玻,其他,其他,10,8.14,52.99,152484000,10734873832,70.4,低
6669,緯穎,其他,AI伺服器,8,-7.39,45.64,2154308,10663824600,4950.0,低
2360,致茂,測試設備,其他,25,13.22,63.93,3957564,10170939480,2570.0,低
6515,穎崴,其他,其他,10,-4.1,46.21,1108247,10107212640,9120.0,低
4958,臻鼎-KY,載板,其他,15,3.51,63.67,20592494,10007952084,486.0,低
2881,富邦金,金融保險,其他,25,14.46,75.48,82473921,9072131310,110.0,高
2356,英業達,其他,其他,25,18.11,75.86,136095687,8696514606,63.9,高
6442,光聖,其他,光模組,7,6.16,47.45,4524936,8574753720,1895.0,低
6213,聯茂,載板,其他,10,5.88,40.0,32341972,8441254692,261.0,低
3081,聯亞,其他,CPO|光模組|光通訊,15,3.72,50.59,3043505,8065288250,2650.0,低
1303,南亞,其他,其他,20,3.67,52.75,88224120,7984282860,90.5,低
3450,聯鈞,其他,CPO,23,9.32,60.03,15632883,7519416723,481.0,低
6415,矽力*-KY,其他,其他,25,11.31,72.28,11804928,7319055360,620.0,中
1785,光洋科,其他,其他,5,2.46,32.79,49100540,7168678840,146.0,低
8110,華東,其他,其他,25,31.77,75.23,114610093,7105825766,62.0,高
3131,弘塑,其他,半導體設備,27,34.63,69.15,1907365,6933271775,3635.0,中
8028,昇陽半導體,其他,其他,25,25.05,81.09,20088455,6719588197,334.5,高
3211,順達,其他,其他,20,25.35,62.6,14990813,6633434752,442.5,低
5289,宜鼎,其他,其他,10,-0.58,56.02,3900062,6630105400,1700.0,低
3665,貿聯-KY,其他,其他,5,-1.86,32.21,3091886,6539338890,2115.0,低
