日期,族群,熱度,檔數,平均分數
2026-05-28,高速傳輸,5星,1,33.0
2026-05-28,半導體,5星,2,32.0
2026-05-28,散熱模組,5星,2,31.0
2026-05-28,電機機械,5星,1,30.0
2026-05-28,矽光子,5星,1,30.0
2026-05-28,航運,5星,1,30.0
2026-05-28,金融,5星,1,30.0
2026-05-28,電腦設備,5星,1,30.0
2026-05-28,資訊服務,5星,1,30.0
2026-05-28,電池能源,4星,1,29.0
2026-05-28,晶圓代工,4星,1,22.0
2026-05-28,其他,3星,563,19.89
2026-05-28,高速傳輸,5星,1,33.0
2026-05-28,半導體,5星,2,32.0
2026-05-28,散熱模組,5星,2,31.0
2026-05-28,電機機械,5星,1,30.0
2026-05-28,矽光子,5星,1,30.0
2026-05-28,航運,5星,1,30.0
2026-05-28,金融,5星,1,30.0
2026-05-28,電腦設備,5星,1,30.0
2026-05-28,資訊服務,5星,1,30.0
2026-05-28,電池能源,4星,1,29.0
2026-05-28,晶圓代工,4星,1,22.0
2026-05-28,其他,3星,563,19.89
2026-05-28,半導體,5星,2,32.0
2026-05-28,散熱模組,5星,2,31.0
2026-05-28,AI電源,5星,2,30.0
2026-05-28,電腦設備,5星,1,30.0
2026-05-28,資訊服務,5星,1,30.0
2026-05-28,高速傳輸,5星,2,28.5
2026-05-28,重電,5星,4,27.5
2026-05-28,封測,5星,1,27.0
2026-05-28,ASIC,5星,1,27.0
2026-05-28,BBU,5星,2,26.0
2026-05-28,矽光子,5星,2,25.5
2026-05-28,電池能源,4星,1,29.0
2026-05-28,金融,4星,5,23.6
2026-05-28,晶圓代工,4星,1,22.0
2026-05-28,航運,3星,4,20.5
2026-05-28,其他,3星,543,19.8
2026-05-28,AI伺服器,3星,2,19.5
2026-05-28,散熱,2星,1,16.0
