股票代號,族群
2330,晶圓代工
2454,IC設計
3017,AI伺服器
3450,CPO
6531,矽智財
3706,AI電源
3323,BBU
1513,變壓器
6282,DRAM
6548,封測
4966,散熱
5425,散熱
3416,工業電腦
8050,工業電腦
2453,機器人
6435,功率半導體
4906,網通
3454,CoWoS
3491,矽光子
3450,通信網路
5425,散熱模組
6168,通信網路
6282,半導體
6435,半導體
4966,散熱模組
6548,半導體
3323,電池能源
8050,電腦設備
3416,電腦設備
3706,電源供應器
1513,電機機械
3025,自動化設備
2453,資訊服務
3062,通信網路
4906,通信網路
3491,矽光子
6425,高速傳輸
2606,航運
2855,金融
2330,晶圓代工
2317,AI伺服器
2382,AI伺服器
3231,AI伺服器
6669,AI伺服器
3017,散熱
3324,散熱
3653,散熱
6117,高速傳輸
6425,高速傳輸
4979,高速傳輸
3163,矽光子
3450,矽光子
6533,矽光子
2376,ASIC
3661,ASIC
3035,CoWoS
3711,CoWoS
6223,BBU
4931,BBU
2379,AI電源
2301,AI電源
8210,機器人
1536,機器人
2049,重電
1519,重電
1503,重電
1513,重電
2603,航運
2609,航運
2615,航運
2881,金融
2882,金融
2886,金融
2891,金融
2454,IC設計
3034,IC設計
3443,IC設計
6531,IC設計
3714,封測
2449,封測
