股票代號,股票名稱
700001,欣銓元大53購04
700002,長佳智元大53購02
700003,威剛元大53購10
700004,原相元大53購08
700005,能率元大53購04
700006,鈊象元大53購08
700007,鈊象元大53購09
700008,新應材元大56購02
700009,萬潤元大53購03
700010,萬潤元大56購01
700011,聖暉*元大53購05
700012,廣明元大53購10
700013,雙鴻元大53購09
700014,雙鴻元大53購10
700015,原相富邦54購01
700016,博智富邦56購01
700017,聖暉*富邦54購01
700018,雙鴻富邦56購02
700019,宏捷科統一5C購01
700020,佳邦統一5C購01
700021,長佳智統一5C購02
700022,華星光統一5C購01
700023,新應材統一5B購02
700024,新應材統一64購02
700025,雙鴻統一5B購01
700026,新應材中信53購01
700027,新應材中信57購01
700028,雙鴻中信59購01
700029,均豪元富54購02
700030,均豪元富54購03
700031,金山電元富53購01
700032,金山電元富54購01
700033,能率元富54購02
700034,閎康元富54購01
700035,閎康元富54購02
700036,鈊象元富53購06
700037,新應材元富53購03
700038,新應材元富53購04
700039,雍智元富53購02
700040,廣明元富53購02
700041,新應材永豐53購05
700042,新應材永豐56購02
700043,新應材永豐59購01
700044,廣明永豐56購01
700045,龍巖永豐54購01
700046,雙鴻永豐54購05
700047,宏捷科凱基59購01
700048,茂迪凱基53購01
700049,家登凱基53購03
700050,能率凱基56購02
700051,萬潤凱基54購04
700052,廣明凱基54購04
700053,優群凱基53購02
700054,雙鴻凱基56購03
700055,穩懋凱基53購04
700056,系統電第一54購01
700057,中光電國票57購02
700058,弘塑國票58購01
700059,生合國票56購02
700060,東洋國票56購01
700061,金山電國票55購01
700062,信立國票55購01
700063,茂達國票55購01
700064,意藍國票57購01
700065,系統電統一5A購01
700066,中美晶國泰55購01
700067,系統電國泰55購01
700068,建榮國泰55購01
700069,順達國泰55購01
70006C,元債20富邦56牛01
700070,良維富邦57購01
700071,華星光富邦54購01
700072,中光電元富54購02
700073,系統電元富54購01
700074,驊訊元富5A購01
700075,印能中信57購01
700076,旺矽中信57購01
700077,系統電永豐58購01
700078,家登永豐56購01
700079,華義永豐5A購01
700080,宏捷科群益54購02
700081,系統電群益54購04
700082,原相群益54購02
700083,家登群益55購01
700084,振曜群益54購02
700085,神盾群益54購01
700086,博智群益5A購01
700087,華景電群益54購01
700088,萬潤群益54購01
700089,廣明群益54購03
700090,雙鴻群益54購02
700091,M31凱基54購02
700092,中光電凱基58購01
700093,台燿凱基54購05
700094,宏觀凱基54購01
700095,系統電凱基54購01
700096,佳邦凱基55購01
700097,原相凱基54購03
700098,鈊象凱基54購05
700099,鈺太凱基55購01
700100,營邦凱基54購01
700101,M31元大54購02
700102,M31元大56購01
700103,中光電元大5A購01
700104,系統電元大54購02
700105,昇達科元大54購09
700106,威剛元大54購15
700107,茂達元大54購01
700108,原相元大54購01
700109,鈊象元大54購04
700110,鈊象元大54購05
700111,萬潤元大54購02
700112,雙鴻元大54購17
700113,雙鴻元大5A購01
700114,譜瑞元大54購14
700115,譜瑞元大54購15
700116,宜鼎富邦54購02
700117,IET國票55購03
700118,立碁國票55購01
700119,光焱國票55購01
700120,伯特光國票55購01
700121,均豪國票55購01
700122,系微國票55購02
700123,昇達科國票54購02
700124,昇達科國票57購01
700125,長聖國票55購01
700126,威剛國票61購01
700127,神盾國票56購02
700128,博智國票55購02
700129,智冠國票57購01
700130,雍智國票55購01
700131,雷科國票54購01
700132,緯軟國票57購01
700133,鴻呈國票57購01
700134,雙鴻國票55購01
700135,穩得國票55購02
700136,旺矽元富54購04
700137,旺矽元富55購01
700138,擎邦元富57購01
700139,M31永豐55購01
700140,東洋永豐54購01
700141,中光電凱基55購02
700142,五福凱基56購01
700143,台燿凱基58購04
700144,宏觀凱基56購01
700145,宜鼎凱基54購06
700146,東洋凱基56購01
700147,神盾凱基54購01
700148,晶宏凱基54購01
700149,萬潤凱基55購02
700150,綠界*凱基55購01
700151,雙鴻凱基55購04
700152,M31元大54購03
700153,M31元大56購02
700154,中光電元大57購02
700155,中光電元大5A購02
700156,宜鼎元大54購12
700157,宜鼎元大56購01
700158,威剛元大54購16
700159,威剛元大54購17
700160,威剛元大54購18
700161,威剛元大54購19
700162,威剛元大54購20
700163,威剛元大55購01
700164,威剛元大56購01
700165,原相元大54購02
700166,鈊象元大54購06
700167,鈊象元大54購07
700168,萬潤元大54購03
700169,萬潤元大54購04
700170,廣明元大56購01
700171,廣明元大57購02
700172,雙鴻元大54購18
700173,雙鴻元大5A購02
700174,譜瑞元大54購16
700175,M31群益54購01
700176,中光電群益5A購01
700177,台燿群益54購01
700178,伯特光群益55購01
700179,旺矽群益57購04
700180,東洋群益56購01
700181,家登群益54購01
700182,鈊象群益54購04
700183,龍巖群益55購01
700184,M31統一58購03
700185,中光電統一59購04
700186,中光電統一6A購01
700187,中美晶統一58購02
700188,中美晶統一5A購02
700189,協易機統一5A購01
700190,昇達科統一65購01
