代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險,AI等級,AI評語
6425,易發,高速傳輸,高速傳輸,33,16.74,70.97,10855048,1112642420,102.5,中,A,高分強勢股 資金偏強 量能健康 AI傳輸主流 
2301,光寶科,其他,AI電源,32,20.59,74.81,57539610,14154744060,246.0,中,S,高分強勢股 資金偏強 法人資金活躍 
1503,士電,其他,重電,32,22.1,68.67,20866623,4611523683,221.0,中,S,高分強勢股 資金偏強 量能健康 重電趨勢股 
6548,長科*,半導體封測,半導體,32,25.72,70.85,28461838,1739018258,61.1,中,A,高分強勢股 資金偏強 量能健康 
6223,旺矽,其他,BBU,30,12.5,69.86,865085,5527893150,6390.0,中,S,高分強勢股 資金偏強 法人資金活躍 備援電力題材 
1513,中興電,電機機械,重電,30,13.8,70.53,30787075,5203015675,169.0,中,S,高分強勢股 資金偏強 法人資金活躍 重電趨勢股 
4966,譜瑞-KY,散熱模組,散熱模組,30,14.93,73.49,3638342,3165357540,870.0,中,S,高分強勢股 資金偏強 量能健康 
3491,昇達科,光通訊,矽光子,30,18.52,67.03,616431,1282176480,2080.0,中,A,高分強勢股 資金偏強 量能健康 CPO題材 
2855,統一證,金融保險,金融,30,14.54,73.75,16225053,728504904,44.9,中,A,高分強勢股 資金偏強 
3323,加百裕,電池能源,電池能源,29,11.76,65.58,7313797,281581184,38.5,中,A,主流觀察股 資金偏強 
2317,鴻海,其他,AI伺服器,28,10.0,69.73,78164989,20635557096,264.0,中,A,主流觀察股 資金偏強 法人資金活躍 AI核心受惠 
2379,瑞昱,其他,AI電源,28,6.7,64.49,6036426,3652037730,605.0,低,A,主流觀察股 量能健康 
2449,京元電子,其他,封測,27,13.69,54.26,94975649,29964817259,315.5,低,A,主流觀察股 法人資金活躍 
2376,技嘉,其他,ASIC,27,10.1,64.51,9012980,2996815850,332.5,低,A,主流觀察股 量能健康 
2882,國泰金,其他,金融,25,9.63,74.5,69883832,5968079359,85.4,中,A,主流觀察股 資金偏強 法人資金活躍 
