日期,股票代號,股票名稱,族群,分數,5日漲幅,RSI
2026-05-27,1409,新纖,其他,25,13.51,73.08
2026-05-27,2438,翔耀,其他,25,17.67,70.39
2026-05-27,3062,建漢,其他,25,10.62,64.8
2026-05-27,3402,漢科,其他,25,17.11,70.14
2026-05-27,3416,融程電,工業電腦,25,13.06,71.91
2026-05-27,6226,光鼎,其他,25,15.23,61.67
2026-05-27,1530,亞崴,其他,23,19.56,86.79
2026-05-27,2453,凌群,其他,23,14.26,77.77
2026-05-27,3032,偉訓,其他,23,15.92,76.98
2026-05-27,3287,廣寰科,其他,23,16.35,78.29
2026-05-27,3323,加百裕,BBU,22,11.76,65.58
2026-05-27,6292,迅德,其他,22,15.74,74.49
2026-05-27,1503,士電,重電,21,22.1,68.67
2026-05-27,2369,菱生,其他,21,39.17,74.13
2026-05-27,3467,台灣精材,其他,21,27.26,71.25
2026-05-27,4939,亞電,其他,21,14.91,62.67
2026-05-27,5299,杰力,其他,21,13.88,70.82
2026-05-27,6015,宏遠證,其他,21,23.79,74.83
2026-05-27,6548,長科*,其他,21,25.72,70.85
2026-05-27,6821,聯寶,其他,21,38.27,74.22
2026-05-27,4711,永純,其他,20,4.27,61.58
2026-05-27,5484,慧友,其他,20,18.72,74.44
2026-05-27,6425,易發,其他,20,16.74,70.97
2026-05-27,6558,興能高,BBU,20,9.56,65.32
2026-05-27,3021,鴻名,其他,19,21.47,82.15
2026-05-27,6016,康和證,其他,19,22.48,81.9
2026-05-27,6182,合晶,其他,19,55.79,89.1
2026-05-27,6654,天正國際,其他,19,31.44,86.83
2026-05-27,8050,廣積,工業電腦,19,12.87,76.6
2026-05-27,9105,泰金寶-DR,其他,19,53.13,85.18
2026-05-27,2606,裕民,其他,18,12.4,77.9
2026-05-27,6411,晶焱,其他,18,17.44,77.37
2026-05-27,1513,中興電,重電,17,13.8,70.53
2026-05-27,2401,凌陽,其他,17,15.43,74.03
2026-05-27,2908,特力,其他,17,1.91,73.71
2026-05-27,3545,敦泰,其他,17,8.07,67.44
2026-05-27,3673,TPK-KY,其他,17,15.89,72.58
2026-05-27,3702,大聯大,其他,17,11.76,69.78
2026-05-27,3706,神達,AI伺服器,17,10.49,64.03
2026-05-27,4952,凌通,其他,17,9.95,67.19
2026-05-27,6155,鈞寶,其他,17,17.69,68.7
2026-05-27,6168,宏齊,其他,17,19.08,66.64
2026-05-27,6202,盛群,其他,17,15.94,61.66
2026-05-27,6277,宏正,其他,17,2.85,66.85
2026-05-27,6570,維田,其他,17,31.85,71.34
2026-05-27,6716,應廣,其他,17,9.07,68.21
2026-05-27,8088,品安,其他,17,18.45,63.53
2026-05-27,1514,亞力,重電,16,10.62,62.97
2026-05-27,1597,直得,其他,16,16.37,63.53
2026-05-27,3059,華晶科,其他,16,0.23,64.18
2026-05-27,3714,富采,其他,16,17.38,63.75
2026-05-27,6271,同欣電,其他,16,31.62,82.64
2026-05-27,6282,康舒,其他,16,24.21,74.17
2026-05-27,6725,矽科宏晟,其他,16,19.26,57.47
2026-05-27,8105,凌巨,其他,16,10.16,73.95
2026-05-27,2881,富邦金,金融,15,14.82,80.87
2026-05-27,3014,聯陽,其他,15,9.59,75.5
2026-05-27,6719,力智,其他,15,15.91,78.55
2026-05-27,4764,雙鍵,其他,14,17.33,70.46
2026-05-27,5425,台半,其他,14,20.25,78.79
2026-05-27,8255,朋程,其他,14,18.91,79.95
2026-05-27,1709,和益,其他,13,5.79,62.7
2026-05-27,1802,台玻,其他,13,13.93,59.32
2026-05-27,2032,新鋼,其他,13,9.76,62.26
2026-05-27,2338,光罩,其他,13,12.74,63.32
2026-05-27,2344,華邦電,記憶體,13,34.2,73.93
