代號,產業,族群,分數,5日漲幅,RSI,成交量,成交值,風險
3450,其他,CPO,35,22.2,68.68,4732642,2371053642,中
3416,電腦設備,工業電腦,33,13.06,73.24,2438372,464509866,中
8050,電腦設備,工業電腦,33,12.87,80.09,12273391,710629357,高
2453,其他,機器人,33,14.26,79.07,8951131,559445687,高
3444,其他,其他,32,31.28,76.21,2587945,304083537,高
6016,其他,其他,32,22.48,75.0,25599070,683495188,高
5536,其他,設備,32,21.18,75.15,3792205,4209347550,高
3323,其他,BBU,32,11.76,67.87,7313797,281581184,中
5425,其他,其他,32,20.25,78.55,68765555,7186000497,高
6435,其他,功率半導體,32,25.81,70.73,2636515,764589350,中
6282,其他,其他,32,24.21,74.91,83232664,5251980971,中
8114,其他,其他,32,21.5,75.16,1455650,378469000,高
6548,其他,其他,32,25.72,73.33,28461838,1739018258,中
3025,其他,其他,31,30.17,76.95,2217902,173218142,高
6570,其他,其他,31,31.85,73.94,4220931,249879118,中
4555,其他,其他,31,27.12,83.13,3402650,181020982,高
5299,其他,MOSFET,30,13.88,72.37,5438421,647172099,中
4966,其他,其他,30,14.93,78.06,3638342,3165357540,高
1409,其他,其他,30,13.51,76.25,57261162,1082235939,高
3706,其他,AI電源,30,10.49,59.91,30067171,2660944633,低
3592,其他,其他,30,13.12,72.08,2798770,796250065,中
8255,其他,其他,30,18.91,81.6,6723297,1247171593,高
1513,電機機械,變壓器,30,13.8,67.61,30787075,5203015675,中
6168,其他,其他,30,19.08,65.26,23989616,741279125,中
3032,其他,其他,30,15.92,80.79,6289461,572340951,高
6206,其他,工業電腦,30,10.77,80.73,3188782,459184608,高
8105,其他,其他,30,10.16,79.39,18306058,317610113,高
3062,其他,其他,30,10.62,71.43,27277346,852417062,中
4906,其他,網通,30,13.88,76.18,47111465,2087037863,高
1809,其他,其他,30,15.47,69.19,13151731,583936876,中
2359,其他,機器人,30,13.33,70.34,10223418,1477283901,中
2606,其他,散裝,30,12.4,76.43,13377091,969839097,高
2855,其他,其他,30,14.54,66.67,16225053,728504904,中
6425,其他,其他,30,16.74,75.53,10855048,1112642420,高
6223,其他,CoWoS,30,12.5,71.18,865085,5527893150,中
6125,其他,散熱,29,20.29,63.52,5795902,381370369,低
8499,其他,其他,29,18.41,69.17,420552,137941056,中
6120,其他,其他,29,18.82,75.29,11766593,178263879,高
3152,其他,其他,29,21.04,65.82,2326967,461902949,中
6415,其他,矽智財,29,20.23,75.42,6970881,4308004458,高
6239,其他,其他,29,24.4,76.01,3284709,1021544499,高
3532,其他,其他,29,23.25,61.97,4393429,1199406117,低
3707,其他,低軌衛星,29,22.66,65.4,40882801,3650834254,中
3711,其他,封測,29,20.98,65.59,25678273,15843494441,中
8289,其他,其他,29,24.59,74.7,5337973,367786347,中
1503,電機機械,變壓器,29,22.1,64.83,20866623,4611523683,低
8261,其他,功率半導體,29,27.08,83.23,4773913,840208688,高
3141,其他,其他,29,22.8,83.15,4522713,360460212,高
2404,其他,半導體耗材,29,20.49,75.21,4999334,6174177490,高
6525,其他,其他,29,10.41,67.26,2447446,298588412,中
6116,其他,面板,29,25.6,78.45,43534725,565951425,高
6147,其他,半導體設備,29,22.97,80.59,81840976,21687858640,高
6290,其他,其他,29,25.38,68.22,10837796,3560215986,中
6265,其他,其他,29,32.21,71.01,22464615,1235553825,中
2495,其他,其他,29,34.93,69.46,27636468,1398405238,中
2312,其他,其他,29,31.98,71.15,165577436,6184316981,中
5011,其他,其他,29,24.25,73.89,3031775,56694194,中
3357,其他,其他,29,23.59,81.4,10221630,2918275365,高
2302,其他,其他,29,31.06,81.61,15419767,504226392,高
2356,其他,ODM代工,29,20.62,72.95,79660687,4938962594,中
5864,其他,其他,29,23.13,62.43,13023744,502716498,低
5434,其他,其他,29,21.1,72.76,1243365,603032025,中
5484,其他,AI安控,29,18.72,75.06,2194186,107844245,高
2351,其他,其他,29,27.22,78.8,12546557,2873161553,高
2344,其他,DRAM,29,34.2,71.13,438816841,68016610355,中
3189,其他,ABF載板,29,32.48,67.4,8271651,5533734519,中
3211,其他,其他,29,33.72,67.94,19220170,8918158880,中
2316,其他,其他,29,22.18,75.37,11948880,2007411840,高
6727,其他,其他,29,26.69,71.02,2077691,1306867639,中
3287,其他,其他,29,16.35,79.77,2849215,103426502,高
4973,其他,其他,29,27.52,78.81,2775560,385802840,高
6756,其他,其他,29,15.27,67.57,1098403,123570337,中
2301,其他,面板,29,20.59,69.41,57539610,14154744060,中
6209,其他,其他,29,26.76,70.11,24141130,2080965332,中
6207,其他,其他,29,28.25,76.66,22228798,2300680593,高
6761,其他,其他,29,23.14,60.78,3306289,738955591,低
5243,其他,其他,29,29.19,69.4,2664390,359692650,中
2308,其他,AI電源,29,31.59,61.32,13873795,34961963400,低
2303,其他,先進製程,29,32.87,78.11,280017949,40182575681,高
6695,其他,其他,28,21.96,70.0,2007000,124835401,中
6015,其他,其他,28,23.79,63.97,15451918,277361939,低
2395,其他,工業電腦,28,9.46,72.41,4513901,2297575609,中
6405,其他,其他,28,27.78,58.23,1662000,114678000,低
6651,其他,其他,28,22.76,71.2,909485,137332235,中
6770,其他,其他,28,9.03,69.55,319820107,21619838745,中
3293,其他,其他,28,3.85,66.07,4854348,3669887088,中
6742,其他,其他,28,25.26,82.41,2099746,124934887,高
3596,其他,交換器ASIC,28,3.28,74.0,3091521,584297469,中
8926,其他,其他,28,8.7,79.84,15660751,978796937,高
3645,其他,其他,28,9.81,65.19,19249474,2261813195,中
6432,其他,其他,28,23.72,83.33,3366963,219525977,高
3467,其他,其他,28,27.26,61.74,2146447,166349642,低
3312,其他,其他,28,8.86,74.06,8879401,447521823,中
1773,其他,其他,27,19.27,65.04,3128586,610074270,中
8096,其他,其他,27,12.56,78.0,10653734,1289101814,高
4542,其他,其他,27,15.04,68.69,1296441,351983731,中
8088,其他,安控,27,18.45,60.21,16884068,1029928148,低
3714,其他,其他,27,17.38,56.91,94761491,7552490543,低
8064,其他,其他,27,15.79,68.42,12208554,1745823222,中
1303,其他,塑化,27,18.19,58.33,123269910,11772276405,低
1514,其他,充電樁,27,10.62,58.46,14305317,1788164625,低
3691,其他,其他,27,11.87,63.48,5708068,887604574,低
3694,其他,其他,27,17.41,66.42,5112524,361966714,中
3702,其他,其他,27,11.76,72.83,13715143,1693820160,中
3704,其他,其他,27,12.69,84.84,8684042,377755827,高
5269,其他,其他,27,10.43,65.29,1948154,2990416390,中
5328,其他,其他,27,15.05,74.56,31410778,1116653133,中
3491,其他,低軌衛星,27,18.52,71.3,616431,1282176480,中
4722,其他,化工,27,11.15,76.73,5215384,1481169056,高
4739,其他,化工,27,13.13,64.16,6584312,697937072,低
1810,其他,衛浴,27,8.15,65.88,11121068,221309248,中
8043,其他,其他,27,15.28,69.47,17508016,2311058112,中
8028,其他,其他,27,11.85,72.1,14353938,4471251687,中
3285,其他,其他,27,11.58,76.86,361492,11495445,高
5465,其他,其他,27,11.2,65.52,333362,8934101,中
6719,其他,其他,27,15.91,79.82,4112098,1048584990,高
2321,其他,其他,27,18.11,70.41,51569,773535,中
2049,其他,智慧製造,27,13.77,77.74,7786460,3184662140,高
3402,其他,其他,27,17.11,62.82,5138309,791299586,低
3310,其他,其他,27,11.18,67.12,1098900,84175738,中
3305,其他,其他,27,17.15,83.22,13301051,2134818685,高
3317,其他,其他,27,13.52,71.88,8405188,691746998,中
3356,其他,其他,27,6.18,68.49,2333646,152387090,中
6020,其他,其他,27,11.37,70.56,308289,7244791,中
2363,其他,其他,27,11.15,65.95,26991623,1803040498,中
2353,其他,筆電AI,27,14.39,67.37,61704879,1937533177,中
